Name,Description
t2,for adoption
angela,beautiful puppy looking for a lovely home commitment to say her is compulsory interested to adopt pus contact 
elita,we found eliza in the park nearby and rescued her 3 months ago and advertised her as missing pet but nobody claimed her we are too afraid to send her to sca because they might put her to sleep right away eliza is a very cut and friendly cat who needs an outdoor setting as she doesn seem to like to use the kitty litter we hope to find her good parents
lassie,loving adorable and playful
gandalf,silk merrier up for adoption 1 gandalf male approve 4 years old neuteredvaccinated and deformed please call me flex
no name,poor kitten found on the road
lola,tortoiseshell color female very lovely she is semi longhair with short tail looking for new home whatsapp if interested to
q6,dog 4 adoption
butter,butter is a very cut dog but unfortunately i have do not have much time take care of her due to travelling issue i wish someone is very loving dog and gentle willing to take the responsible if do not mind i wish i may visit her after sometimes
meelah,indoor and outdoor cuba mass cellar ke maman sahaja tell dimandulkan terpaksa dilepaskan bursata beberapa for during lain veranda tidal apart berkawan began during sang lain say add matas masalah tersebut did take useless dan ask oak cellar ke maman dean human makar backwoods kitten tidal perish iberian masalah nevada keluarga mania vanya iberian nevada merely g tiara during at tidal leash seeker during sahaja to among girl
beauty,this beauty desperately needs a home and a loving person to take care of her she has been living with the doctor because i boarded her as the place where i rescued her from was not clean and wet and damp imagine her spending her growing up life in a cage she should be jumping and playing in an open place thanks and god bless you
no name,there is a small bushy little forest located near my houses being lived by stray paris dogsunfortunatelyone of the female dogs gave birth to its young pus there are 5 supplies up for adoptionthose kind hearted people who recalling to take them as a pet can pm menearbythre is one house rented by realise security guards eats dog meat heard from my neighbours saying thatched saw them hitting the dog with the stick to knock it unconscious co i heard that they eat dog meat and in their country its valiant the next date dog is gone from their housechances of being eaten is very highsoi m worried those supplies are still small and its not independent being eaten up by themsodogs for adoption is on try to snap all the puppy photo to have a look i manage to caught 3 supplies and its ready for adoptionthere are 3 more coming as did not manage to catch yetthese 3 supplies i caught are mix as u can see colour are being mix instead 3 others are pure blacklooking for good home
becky,dear friends we rescued this female puppy back in february she is about 6 months old now we are desperately looking for a new home for her beck has been fully vaccinated stayed we are hoping to find her loving heart home her if you are interested pus contact vein or view chop hope this baby will find a loving home soon pus do share with your circles thanks a million
untitled 1,hello i have 2 cats waiting to be adopted their mother recently gave birth to another set of kitten and i really can handle 6 cats in my house in doing everything alone now its time for the new kitten so i have to let the older kitten go unfortunately if you are interested please give me a call and we can arrange a time for viewing there are 3 cats in the pick posted i think you should be able to tell which is the kitten and which is the mon here thank you best regards fade
gumdrop,gumma is health she loves biscuits and ham i have a big compound for her to practice her running skill she now can run like a cheetah i have no other alternative but to move out from my rented house into a conde please take her into your home and give her the love she deserves
xiao pang ,mr xiv pang is strong healthy active funloving loves to play around children and other dogs he needs a lot of attention and space training and he promises in return he will be faithful to you for life treasure you and your loved ones never forsake you no matter what he will love and cherish you even when you have a bad hair day serious adopted only
pippa pepper,for adoption or further inquiries please kindly contact through petfindermy through our facebook page through email logic information of the feeling name pipe pepper gender female breed domestic short hair date of birth approximately on february adoption fee am 90 spayedneutered yes deformed 1 th august 2 with september vaccination 1 th august 2 with september fed on before rescued royal cabin follow by backwoods adult fed on after rescued aims kitten food previously backwoods adult feeling cavity currently monger can food fresh home cooked fish or chicken once a week festive day vitamin daily st month follow by once a week very dog daily st month follow by once a week evening primrose oil daily st month follow by once a week conditions for adoption adopted need to fill in a questionnaire from us feeling must be kept indoors only to be fed strictly on premiumsuper premium food only backwoods or etc strictly no lowest food whisky friskies test bands or etc as this category of food will cause their health to deteriorate in the long term causing them nothing but pain update vaccination to be done monthly annually to protect the feeling against diseases to be treated by a met whenever unwell injured to apply spoon meditation monthly to protect against ticksfleasear mitesstomach wormsheartworms updated picturesvideo on the feeling from time to time either via email whatsapp house visit adopted is also required to provide us your valid contact number alternate contact number and also house address etc if at any point of time you do not wish to continue to care for the feeling please return them to us and not abandon them on the streets or if you have found a new home for the feeling please let us know the details of the new home that you have found before you give the feeling over we will send the feeling over to adopted place after successful adoption agreed adopted will be given vaccination card medical records of the feeling from the day rescued purpose of adoption fee includes part of the cost for spayingneutering fee am 1 2 3 vaccination am each medical bills when we first rescued the feeling to allow us to continue our rescue efforts and to help cover the medical and food cost other remarks if you are interested in giving a home to these lovely lines kindly contact the above but before that please do consider the responsibilities of being an owner and decide only after serious consideration there is no point in wanting these cities out of impulse and then deciding to abandon or give them away later animals have feelings too and the right thing to do is to treat them as a part of the family and not just as a pet together we can make this world a better place for all living things and help save lives interested parties please sent a message via petfindermy facebook private message email and please share about yourself eg malaysianexpatriate your place eg if renting landlord allows pets if living with familyfriends do they agree to pets and your cat ownership experience any juveniletype email without providing the necessary details in tell us about yourself your place and cat ownership experience required will be not be replied please dont just provide a phone number because we wont calls and prefer to correspond by email first my apologies if the above questions seem to be intrusion or offensive in any way but we are looking for a truly loving and responsible adopted for the lines all this resulted from our experience in reaching and becoming cats please note that there is no right or wrong answers as we just wish to learn more about the lines potential adopted before making the decision thank you please dont let this put you off as we did not have any prior experience with cats either it is something that can be learnt gradually over time and it will evolve into a wonderful two way relationship the important thing is to look at them as a part of our loved ones and not just another animal where there is love relationship and trust will grow please help us to continue helping other abandoned and stray animals
tabatha,tabatha was rescued along with 7 other kitten after someone rounded them up and threw them away in a box by the roadside they were rescued by a jigger and other passers and are now in the care of a few fostered tabatha was seriously ill but has fully recovered she a survivor she has a beautiful calico coat long elegant tail and big green eyes tabatha is an inquisitive and intelligent kitten her curious nature makes her a mischievous take she likes to follow people around and get involved with whatever they are doing she loves playing with other cats and even cautiously hangs out with dogs she is always running around playing with toys and entertaining herself she is quite vocal and very affectionate tabatha loves company and she would be terrific in a home with other cats or kitten and people who have time to spend with her adoption procedure well have a chat and see if you and tabatha are suitable for each other successful adopted will then have to meet us at my met in order to get the little take vaccinated then your new family member is yours to take home and love forever cost of vaccination and entering to be borne by adopted i am an independent rescuerfosterer my funds are extremely limited i do appreciate photo after a successful adoption vaccination and neuteringspaying at 6 months of age are compulsory for adoption there are already too many stray homeless animals starving and suffering in the streets please dont breed when you want more pets you can always adopt from a shelter no cage confinement please except in incidence of illness or injury tabatha is very social playful funloving and energetic confining her in a small space would make her very unhappy interested parties may text or email me a brief introduction of yourself and your experience with cats is greatly appreciated
emma,emma had a lovely family unfortunately her litter owner who is only 4 years old had asthma and dr advise not to keep any pet therefore she was sent away to a fostered and waiting for a sweet home commitment to say her is compulsory if u are interested to adopt pus contact albert
winston,lovely puppy looking for a forever home if u are interested to adopt pus contact rachel
sergei,our cat sergey needs to be removed as we are relating to a place that is not petfriendly he has been vaccinated deformed and entered and is an indoor cat he loving cheeks and will charm you as quickly as he did us he is also littertrained and has been an indoor cat for the past year he has lived with us please contact me if you can give him a loving torturing home you can email me at or whatsapp to thanks for taking the time to read this
mani,she is a puppy given birth by a stray dog which i found in an empty land i have sent her to a met for check up and she has been deformed the first vaccine has been given to her last week the second and third vaccine has been paid to a met in keeping you just need to bring her back for the vaccination i strongly recommend to say or never her by the age of 6 months so it will be more hygienic and controlling the breed you can bring her back to the met in keeping for saying as the cost has been covered too
debab abang comel gemuk adik,debabwhiteorange abangorange is the malebig sizelike garfieldthey do not have any medical problemgemuk did is the femalethey also do not have any medical problemcomel is the females health but her hair have fall due the medical product at the care centres still have her hair but not much like others reason to let go will marry with a singaporean this year after marry will travel to singapore australia other places i hope those who want to adopt my cats will take good care of them
irish,irish was rescued from a home where he was neglected his fur was matted had mange so bad there were open wounds on him its been 6 the since the rescue irish now has his beautiful long fur back and has been entered he a very loving attention seeking dog despite all he has been through his only fear gets and rates his ears being cleaned and nails cut
queen klg,the owner does not want her anymore and wanted to dump her but then she was given a second chance and she is also stayed she can be a lovely companion and shell definitely love you and your family for giving her that chance letter jenny will you adopt her
garlic,these supplies were rescued from factory area their mother have been stayed already there were 18 pus now left 10 supplies all brown all female if no one adopt them they will grow up to live as a homeless factory area dog living on the streets and they could get caught by the town council sooner or later or get hit by heavy trunks they may not look as cut or pretty as they are now much bigger but please spare a space in your heart and your home for one of this little ones so they dont have to live on the streets in the future and suffer the faith of a street dog to
unknown,this kitten is a stray very friendly and loves going into peoples homes its been outside my he for the past 2 days i feel sorry for this little girl i feed her but cannot let her in i have just given away 4 kitten and my husband is dead against stray please help me find her a good home i will post her pictures soon but trust me she is well and very pretty i can delivery anywhere in the klan and shah alarm area pus sums me at to
goldie,soldier is a love female puppy she loves people daring her and she is sometimes shy yet active surely you will have golden and lovely days if she is with you all the time
gari,house kitten malaysian friend gave to me but in working everyday can not take care the kitten so for adoption good person the kitten is cut animate full of charms i have food toy sand case to delicate all of things some one want to adopt ply contact to me thank you
snoopy funny,scoop funny found rescue from opening house area scoop is taller and bigger then miniature size funny is miniature sizeseriou skin problem for both of dogs if anyone interest to adopt them please give me a callwechatwhatsapp i from upon can manage send to klpenangfor dogs lover only make sure you can handle the skin problem and see doctor until skin recover need to spray the dog before adopt fees pay by adopted
lola,old sophie are sisters both are quiet shy will try to hideous away from people both were dump in a plastic bag throw nearby a deep drain old fell into the drain together with its brother captain popeyeadopted already meanwhile sophie was panting up down trying to give encouragement old is very brave seeking help from inside the drainwhile little brother is sleeping while sophie seek help from above the drain both will vaccinated adopted must neuterspray it please call me at
jimi,this is mimi a sweet and loving rescued puppyplease adopt to give her a forever loving home
park girls,2 adorable female pus rescued from a park hence the name the park girls adopted must commit to saying the supplies as they are still too young i will bring interested adopted to my met in japan sprang where adopted shall pay the met am saying feethis is rescue rate and keep the receipt until the puppy is old enough to be stayed just bring the receipt back to the met and the doctor will proceed to say with no additional charge address of clinic is king veterinary mayo a us 101g sprang jay and name of doctor is dr for please contact mmm jocelyn at for adoption
poppy,followed my sister back to our apartment we showered him and just found a few tricks in his bodydoctor said he about 8 months old and already had his first injection very submissive dog very playful and quiet type staying outside my corridor and scared will complain by neighbours
2 white kittens and calico mama,the calico female has given birth to 2 beautiful and healthy white kitten 2 in early february one male and one female the male has blue eyes and is very mania the female has grey eyes a crooked tail since birth and is very playful we wish to put all three for adoption as the kitten are still feeding on their matas milk they start to eat nibbled and are litter box trained we have them deformed every month
baby kayla girl,whatsapps
shadow,shadow is a charming black knight with shining black armor sometimes he could be a cut black dragon toothless from the movie how to train your dragon he has big bright eyes that can make your heart melt by saying www he loves to be around human and loves to play unfortunately me and my family are moving and there too many amount of cats so we have to giveaway some we are looking for a loving and daring home for shadow adopt him to brighten up you everyday life please contact miss anne for more into thanks d
kittens 6 month,cut and movable please call or whatsapp nina breed not sure for the white kitten and striped
hachi,calm and nice
maltese benny and sherry,2 small pus which were found with their mother in a few weeks the pus are ready for adoption please come and have a look if you like these small furry orgies
no name,playful toilet train good temperament
leilei,veiled is very healthy used to human touch and very tamed and double she likes to eat and love to be around with her playmate oh a she likes to sleep too
bubbles,shy but loving needs a home that can provide attention and love smswhatsapp at
lovely puppies,there are total 7 supplies up for adoption 2 blackest 2 light brown 2 creamy white 1 dark brown very cut and active
hiker,she is an active and lovely up
flan,plan and her shillings were rescued from an unfriendly house that they were hanging out at we managed to the momspayed and released but now the cities need to find a good family there about 3 months old and have been deformed detached and will have their first vaccination soon all three of them are not big fan of my rescue dog bubo will scowl or hiss at her when she comes too near otherwise i think they all just tolerate dogs plan plan is the only female of the three kitten we think that shell grow up to look like her very pretty sum who has similar markings and color but only darker she has a king at the beginning of her tail were not sure how she got it but she can look quite funny especially when she alert or playing am looking for a good family who will say her and care for her please watsapp me at or email me at if you are interested thanks
rottweiler adoption,open for adoption with fees looking for new lovely home due to owner lack of time care vaccination reform up to date contact me for more details
mei mei,she is quite and playful not bark unnecessaryshe was throw by someone and almost accident because she did not been at out before who willing to give her a new house can contact me
kitten ra19,male the healthy playful and active adopted need to do vaccine and reform for him open for malasha citizen only prefer married couple or suitable adopted hope an animal lover can give him a good home
lika,playful active n needs a good home
long hair vanila,adorable local mix persian kitten looking for new home she is long hair manila a creamy fur kitten about 2 months old now she has fluffy hair with a straight fluffy tail too she has beautiful orange eyes she has defeat and was deformed on with december she is a bit skinny due to lack of nutrition when we rescued her she is feeding on nibbled plus wet food canned fish now she is healthy very active and playful she is toilet petty trained could be let go at daytime am adoption fee would be paid to cat charity club can for reaching stray cats another am entering saying deposit would be fully refundable once the surgery done anyone interested please call 
lady,rescued cat very tame and has been a good girl diet royal cabin kitten very fluffy hair and medium length cat litter and pine wood trained very disciplined has never posed or peeped around so far loves to play around and needed someone to spend time playing with her child and strangerfriendly quite a social cat she would not have any problems with human but might take up some time with other cats if you have any at home only for serious adopted please whatsapp me for more photo of hers to if or interested kindly contact us at sarah whatsapp call and sums whatsapp is more preferable we hope that you can be the new family for her to is no delivery please come to our house to have a look at her first and only if or interested you can bring her home once you brought it home but find it not suitable to you you can return it to us location maman desk jan klan lamp 5 mind from midvalley 2 mind from desk waterpark thank you for viewing the cats profile we recommend you to consult the met after the adoption of the cat as our cats are stray and rescued ones we highly suggest the adopted to vaccine the cats and to spayneuter it once it reached its maturity to avoid more stray by the roadside to
shiloh,just like her sister rio shiloh is playful too she also toilet trained does her business only on newspapers very loving and very adorable i hope she finds a good home
yogi and maya,you boy and may girl both are very healthy friendly and well petty trained kitten content with dry food and tap water will too n see outdoor if we provide sand pit or in the litter box if indoors you is all we hit with blue eyes and may is taxed with green eyes i will pay for the entering and saying if they get adopted just now they are too young my problem is i have to h o overseas soon for long term
josy,joy was born in november she is currently staying at the sca she is an extremely happy loving dog loves to play in the water she is very nice to other dogs as well
no name,natural long tail loves to play with people
billy,billy is a mixed ship tubes sort like a little adorable teddy reaches a fearless little things not afraid to go up to other dogs boy he friendly that wayne loves to eat and he has this solid tegapbody and he loves to have his belly scratched and to be carried around the he is quite a jumbowhen he is on playful mode he loves giving headbutts ak london and try to bury his head in you tummyhe runs in a funny way and we find it very cut of him he is only meant for serious adopted who is a genuine animal lover looking for a lifetime companion i would appreciate much if i could send him to his new home if there is any kindhearted soul out there willing to take him and make him part of your family
kanthaka,
r10,dog 4 adoption
 brown patch ,these supplies are rescued at the drain anyone willing to give them a forever loving home contact me 
raven,the ll puppy is currently taking shelter at sca severing peri those interested to adopt him may contact us via email
bearbear,this is a crossbreed puppy rescued from the pound doesn eat clot apparently adoption fee includes her saying and rescue cost all other costs will be bared by us
dalyla,galyl ni campan grand tap cut mengada bill dibelai such melepak dark germain makar take crewe tender data oak age did seeing perhatian self pick only want adoption sleeps pull 10 madam sila away carrier sending
chiko,all reddish brown colour adorable active and playful loves to play with water no raging or tying for long hour except for precautionary purposes commitment to never him is compulsory serious adopted pus call 
black white,black white is a lovely healthy 2 years old mixed breed living in a j family the family is looking for someone who can give him a new home given that the owner is unable to keep him along
katie,katie is an active kitten and she loves to play she is mild and mania and shell surely love to be part of your family katie was rescued along with her sisters from a drain she is now looking for a loving home the adopted is encouraged to contribute towards the vaccination and entering fee to support the continued reaching effort of other dogs and cats
cutie,cutis is a very playful kitten and love to be stroke and love to be at her human she is littertrained and eat dry food she is a very playful friendly and easy to handle
queen queen fei po,queen queen is a very lovely cut girl she is looking for a forever loving home she has a wonderful temperament she is very very intelligent loyalty to her owner she will obey orders and go to cage when asked to she know her name very well whenever you call her name especially is few po she very clean and will not dirty her cage with see too she is obedient close to humans she is an excellent guard dog she will make a good watch dog for your home she will alert you when stranger arrive every dog deserve a good loving forever homes give her a chance to prove how grateful she is to you when you adopt her pus call or whatsapp me if you are a pets lover really anna give few po a loving forever home in very sad to put her for urgent adoption reason for adoption relation to sarah very soon
b1,the irresponsible neighbour once again brings in not one but 5 dogs this round to dump at his vacant house with a manage pond about three weeks ago one mother dog and 4 pus one up has gone missing the following day after it arrived the first of three pus for adoption is nicknamed by also known as mild bear she is the smallest of the lot and is unique as she has a very short tail just like a bear looks like a bear too seeking love and attention from a kind soul out there rescue to date drain drops 4 pond drops 0
no name,these absolutely adorable kitten are up for adoption as usual no adoption fee however future owner will be required to pay for the vaccination and maybe reforming i am not sure of the breed and age they are still small though if you would like to know more you can contact the met the kitten are with them 2 male and 1 female female is gray in colour the rest are males
tikkany,very energetic and excited type of doglook fierce but very kind at heartsuitable for those who are willing and have the time to bring her out for a walk to release her accumulated energy 
5 baby kittens,was looking after a pregnant stray and now she has given birth to 5 kitten they are less than 2 weeks old video of them in action 
fringe,1 year old male cat looking for a loving and forever home he has been sent for a check met prescribed antibiotic for fly and small wound on his paw and lower back our plan is to never him once he got wealthier at the time being we hope we could find him a loving home as he is currently taking shelter at our studio he is a very mania tame and friendly cat seems to understand simple instruction so we suspect he was an indoor pet 1 must be kept indoors only 2 must not be allowed to roam freely outdoor 3 no raging 4 must be provided with all the daily necessities food water shelter attention and pastime 5 must follow up with check up vaccines reforming etc 6 the new owner must keep the rescue updated about the kitten vaccination card and appointment dates so that the rescue is aware that the owner is fulfilling higher duties and responsibilities if you can adopt we hope you can share our post widely because who knows his future paw parent might be nearby location healing jay
romeo,hi everyone rome is a fun loving cat who i adopted through pathfinder unfortunately my housemaid has developed bad allergic reaction to cat fur and i have to give him up for adoption he is much loved and taken care off but i need to give him up i am looking for a loving home for rome please call me at are for more information
yuuki,when i found her last year her mouth is bleeding with some of teeth damage might be cause from hit by a motorcycle now yuri is very healthy loving cat and need a lovely owner and forever home i only charge am to cover the cost of stayed her
beauty her sibling,place maman klan stamp contact what what apes ms church please give them a chance we can foster them too long bc they temporary keep at kindergarten before the children parent complaint with government department we need to help them find a home the place we found them is under a useless lorry and without found their sum when they just giving birth around 23 days now they are start to adoption their the others 3 sitting is found a forever home please help share it help them get a warm home thanks
kasih dan oreo,i can manage to have a lot of cats to take careowner neglect her kitten n mother in front my house n dont want to take care of these want to dump this cats at market because she dont want them ply help me adopt this kitten and take a good care
unik,lovely puppy looking for a home sweet home commitment to say is compulsory if you are interested to adopt pus contact amy
no name,rescued this little puppy along with 3 other supplies and their healthy mother from road side been taking care and fostering them since day 1 after birth very healthy and playful little one it will be awesome if you could give her a loving home and in sure she will be your best companion
no name,she came to my house 3 months ago i hope someone could take care of her because i am moving soon besides i am also taking care of a sick cat i am not very sure about the breed
mascara,lascar is her name because she looks like put on loads of it then cried over a broken heart till it smeared up around her eyes but a broken heart she has not she is the bubbles longest most heartmelting puppy i have ever met i found her 2 weeks ago with a maggot wound a fever and swollen lymph nodes after antibiotics she is up and jolly ready for a loving new home she will make you laugh with her antics and her adorable expression when she wants your forgiveness after doing something naughty her daddy is an abandoned jack russell merrier mixed so that explains her beautiful unique markings she needs a family that is willing to play with her to keep her happy love her as unconditionally as she will love them and most of all protect her from all sorts of harm so looking for a furbaby that will make you smile lascar may just be the one to brighten up your day
bibi,the landlord gave boris owner a very short notice less than a month to move out from the house they have been living in for more than 20 years boris owner can keep bill in the new place but can find new home for bill within such a short time frame either as a neighbour i offer help by temporarily keeping bill in my house bill is a very loving and sporting girl she has short shiny black fur and always wears a happy smile on her face bill is of smallmedium size wont grow big despite her sweet character bill is a very good guard dog too
water,friendly
reese,geese is cut mania and playful she is litter trained and dislikes being caged she loves being around people and other cats terms and conditions for adoption 1 must be kept indoors only 2 must not be allowed to roam freely outside 3 must not be caged for long periods of time 4 must be stayed when 5 months old saying is a surgical procedure done so that the cat cannot reproduce 5 must be provided with sufficient food water shelter and attention daily 6 must be played with daily only serious adopted will be entertained
labrador mixliamliam,nickname liamliam in cantonese co he loooove to lick his human friends extreme friendly old be because he has lab blood in him active fast learner eager to please playful full of zest and maaaaanjaaaa diam was rescued fr a mansion drain with a fracture leg but he heal now and old run like a thunder diam has a pair of gentle intelligent eyes and beautiful mild color short fur easy to maintain please call for adoption diam is being foster in iota kemuning shah alarm
roscoe,rostov is a loving dog which was rescued off the streets he is a very good watch dog as well
twins,hi please bring me homezzz tut
gm,healthy and adorable puppy commitment to say is compulsory interested to adopt pus contact amy 
miaw,sudan di adopt to pathfinder
kechikcheq,found in open carpal in rainy day in sir damansara on must aug her loud voice and cry caught my attention beautiful gray eyes long tail pink nose innocent face active respond to her name start eating wet food minor injuryfungus on her right ear love will bring her to see a met reason to let go i have my own pets always on the move and less time to nursing her limited spaces no adoption fee if she adopted immediately else you can give cat litter sand or premium cat food this is to cover her medical bills updated 24910 went to see dr inman today to get her meditation dr inman said she will be recovered after 5 days will bring her back after 2 weeks to get her followed check up update with sept ms ana from jan kuchai lamp will adopt kechik after 2 weeks should she change her mind kechik will become to mr ryazan 6 kechik is recovered from mange on sat will bring her again for final check up thanks ana for adopting kechik i am sure i am donna miss her
patch,my colleagues found a box of 5 newton supplies on a roadside while asking around for help we decided to foster them sadly 4 of the supplies passed away one after the other 2 weeks later patch here is our fighter a survivor who has beat all odds to thrive into the cheeks puppy that is she now she just got her first vaccination and several reforming jaws she has a fungalworm problem which was probably the reason her shillings died most likely due to being separated from their mother too soon we will get her stayed as soon as it is possible in the meantime would anyone like to adopt this fifty playful up it would be great if we can find a loving forever home for her
lucky,lucky is a female dog about a year old her character reflect her innocence and true nature she is all smile when you meet her never once did she hold any grudge against humans who had once bad treated or turn against her lucky as her name had managed to escape the dogcatchers who frequented our neighborhood many times aunt jenny a kind hearted lady who fed lucky will meet her at the same place same time everyday and lucky is always on time for her appointment eagerly waiting for aunt jenny it is heartbroken for aunt jenny to know that lucky is always out on the street risking her life knowing one day she will end up in the hands of those hideous dogcathers she decided to sponsor lucky saying fee and put her up for adoption hoping someone will fall in love with lucky and bring her back to home sweet home lucky is very friendly and playful being still a young adult she can gets along well with other dogs and is sure to bring lots of entertainment and memorable moments to her ownertobe for those interested in adopting lucky please contact aunt jenny at or ellen at
biscuit,biscuit is a male ginger cabby with a chiselled chin honey and himself both have adorable king tails just like miss both listed on my account he is a active little kitten who loves exploring and climbing especially on to our shoulders like his shillings biscuit is a tender loving boy and often sleeps soundly on our laws adopted must continue reform vaccine and never preferably kept strictly indoors and allowed to roam and climb around been toilet trained been fed avoderm canned cat food so please do not feed lower quality nibbled please message or whatsapp to enquire more about the cats
bonbon,london seems to walked into our home surprising both maxim and domo at that time she became close to domo thereafter until now london has a white spot on her upper chest neck and tummyjust like a priest very predictable at timesand have a cuckoo side of her but other than that she is very mania and loving while domo is the pounced london is the spotted she makes a click alacrity sound with her mouth when she spot a both or wizard or cockroaches
good month,found a group of 4 abandoned fur babies crying for food in hull landau
s618,found her on 186 in bad skin condition w eye injury she will not be given a chance to live at the shelter then the met said she was about 2 the and can be treated after the treatments she is now healthy active but gentle and ready for adoption as she is of the big dog breed she is very strong she broke few of my chain because i dont like to cage her up and turn my small garden upside down with holes but is ok she is just a puppy still she wants to run around and i dont he enough time for her to do that she need training adoption is free but do promise to give her a good home no abuse no breeding enough dogs too little home provider like yourself specially with the limitation in this country and make a charity donation to any no of your choice and amount we managed to find her a wonderful family with a wonderful home for her to run and play most of all be love by this kind family
siamese kitten,cat for adoption
penny,penny is looking for her forever home in exchange for loads of puris and pastime candor is a fifty little girl she active and playful she deserves a serious adopted who can offer her a good home love and comfort no adoption fees however a few conditions apply
no name,soft active
3 cute puppies,3 too cut female supplies were dumped at slaying market they are healthy and only a month old please give them a chance for a good life
female 4,mother dog was rescued and gave birth to 8 supplies mother and all supplies are now at foster home and in good condition puppy can be adopted in another 2 to 3 weeks interested please call samantha 
foxy,1 foxy is a stray cat which i feed regularly she was stayed july 2 after she was stayed she become more unapproachable and allow us to pat and carry her when we feed her since she is still shy with human adopted needs to have the patience to restrain her
joy,he a pure breed golden retrieved with ma cent a joyful and playful dog he simply loves his bathing time so much that he will lie down like a carpet to be brushed and shampooed he has long golden coat which is one of the best feature of a golden he is good in a couple of tricks eg sit down hand ok to agree with something never run out of the gate with the gate wide opened etc however he feels a bit sad because we do not have time to walk and play with him anymore we are hoping to find joy a good master who could spend time with him and provide him a good shelter i am looking for someone who has experience in taking care of dogs and whose house with compound in klan valley to contact me i want to make sure that you are the right person and to ensure joy will be happy living with you
milo,urgent some of my rescued dogs currently house behind a factory in sprang are at risk of being taken away by must due to complaints from the factory owner any assistance to adoptfoster my rescue sap to give them a chance of a good life is much appreciated thank you mild is an exceptional looking fellow perry and alert both characteristics are signs of intelligence makes a good companion if you are looking for a fur kid to be part of your family please whatsapp or call jocelyn at to
viper,i incidentally found this male cat sitting on the road at the midnight and my brother who drove the car was nearly hit him when we found him he was very weak too thin and his face was fully covered with mange we rescued him and brought him to veterinary clinic after 3 weeks he is now fully recovered as you can see in these photo he is now very energetic love to be pampered and for sure he is toilet trained i really hope viper will get a new owner he will be a great companion to his future to be owner help him to find a new home and i can send him to you
ute buta,if u r looking for a welllooking cat then use is not for you however if or looking for a great companion a friend to hug with then he is ideal for you we rescued him when he was just as small as our palm about 2 weeks old he had infection in his left eye during that time and after meditation from met he is healing and getting better diet can be fed with chicken because chicken trigger itchiness on his healing eye only feed with royal cabin kitten and boiled fish ivan debts loves to run around inviting you to play with himhehe having one blinded eye never stop him from being fun and playful like other normal cats he is a loving cat and very tame he is an ideal cat for you if u need a great companion cat litter and wood pet trained if or interested kindly contact us at rapp only or at call and sums only we hope that you can be the new family for him to is no delivery please come to our house to survey him first and only if or interested you can bring him home the giving of catfood is well appreciated for us to feed other stray cats that we rescue to
filla,these supplies were rescued from factory area their mother have been stayed already there were 18 pus now left 10 supplies all brown all female if no one adopt them they will grow up to live as a homeless factory area dog living on the streets and they could get caught by the town council sooner or later or get hit by heavy trunks they may not look as cut or pretty as they are now much bigger but please spare a space in your heart and your home for one of this little ones so they dont have to live on the streets in the future and suffer the faith of a street dog to
no name,kindly call for inquiry of those cut supplies if anyone of u guns are interested in adopting them may god bless you 
cherry,hello there this is cherry i found cherry at my grandmother s house on 5 th of march cherry is a very beautiful kitten cherry has mixed colours on her coat the coat colour below her neck and all the way down to her legs are white cherry s eyes is light grey in colour with a hint of very very light green cherry is a very loving friendly and cut kitten the adoption fees will be am 20 because cherry will be coming along with her food and litter cherry is ready for her new loving owner 
yuri,was a stray cat yuri needs an owner 
bundle,bundle is an energetic playful and affectionate kitten he is very clean and toilet trained a good later not fussy with food
b1,for adoption
no name,natural medium length tail
dapple,very adorable male kitty about 2 weeks old lost his mon can food by himself or bottle feed both any serious adopted please directly contact or sums me thanks
no name,kitten for adoption lovely and cut location sg below selangor for preferably to take the mother cat along if interested pus sums me at thanks
thurderball,hi everyone this cut little puppy was abandoned in a farm any kind soul would adopt him do contact me 
comel bookedajai,open 4 book akin siberia bill day bercerai such n landau makar sending adoption fee began bertujuan until oak juan cuba harp owner bare take mensiasiakan did gender past lgakan dimaklumkan kemudian harp add g said oak ja did sub da beak sat during at ma do 17909
pixie pepper,available for adoption now note contact me only if you have read everything in detail and you know for sure that you are able to provide the love attention commitment and a comfortable environment your welcome to inquire about them at daytime please understand that you will be asked plenty of questions before confirmation thanks for your patience and time in advance pirie pepper are inseparable sisters playful and fun they seldom me since they have each other for company so that a plus point that why they should be adopted together used to human presence toilettrained perfect time to adopt them from young criterion for adoption 1 able to provide food shelter medical care when necessary and sufficient exercise toys pastime adequate love 2 to be kept indoors at all times in kittyproof environment 3 to provide updated until we are certain that they are able to adjust to new environment 4 any problems in keeping them adopted must return them to rescue immediately no questions asked 5 must adopt both kitten 6 must vaccine and say to prevent overpopulation when the time is right 7 must have pet carrier to take them home or for met visits our only wish is for our rescue to have a good home so please do not contact us unless you are genuine in committing to all the criterion above
leena,been is a medium size german shepherd mix dog friendly and unapproachable but alert and will barks at stranger can be a good guard dog already stayed vaccinated and deformed if you are interested to adopt pus contact amy
utih,cut mania seeing diana have blue eye will given fig pet food to successful adopted
brownie,rescue her from 2 weeks years oldhave 4 shillings ready to let go to somebody really love cat diet e n home made wet food interested pushing
june,june female 23 months old was found outside an office and is temporary fostered by a kind person until 21 looking for a owner urgently if u are interested to give her a home kindly call me or contact ms confine to
